Date,Open,High,Low,Close,Adj Close,Volume
2008-11-19,7.767500,7.997500,6.000000,6.057500,5.071643,10955600
2008-11-20,5.835000,6.275000,4.750000,4.785000,4.006242,19968400
2008-11-21,5.547500,5.617500,4.267500,5.527500,4.627901,19014400
2008-11-24,5.872500,6.930000,5.600000,6.680000,5.592831,14030400
2008-11-25,7.010000,7.110000,6.277500,7.002500,5.862844,11441200
2008-11-26,6.570000,8.317500,6.517500,8.247500,6.905221,14252400
2008-11-28,7.992500,8.665000,7.880000,8.665000,7.254772,3981600
2008-12-01,7.827500,7.932500,5.375000,5.620000,4.705345,14906800
2008-12-02,5.972500,6.525000,5.607500,6.460000,5.408637,15318800
2008-12-03,6.012500,7.242500,5.957500,7.080000,5.927731,27722400
2008-12-04,6.737500,7.487500,6.017500,6.407500,5.364681,23481600
2008-12-05,6.107500,7.292500,5.652500,7.210000,6.036573,37032800
2008-12-08,7.790000,8.387500,7.645000,8.155000,6.827775,28211600
2008-12-09,7.922500,8.810000,7.232500,7.460000,6.245885,28266400
2008-12-10,7.700000,8.307500,7.517500,7.960000,6.664512,23926000
2008-12-11,7.720000,8.062500,6.507500,6.767500,5.666090,19806000
2008-12-12,6.217500,7.497500,6.177500,7.417500,6.210304,40111600
2008-12-15,7.607500,7.685000,6.397500,6.737500,5.640973,25721600
2008-12-16,7.122500,8.060000,7.077500,7.960000,6.664512,27358400
2008-12-17,7.845000,8.645000,7.650000,8.272500,6.935299,27246800
2008-12-18,8.265000,8.700000,7.532500,8.067500,6.763438,22805200
2008-12-19,8.372500,8.860000,7.997500,8.250000,6.916437,28224800
2008-12-22,8.335000,8.362500,6.927500,7.700000,6.455342,25004800
2008-12-23,7.875000,8.000000,7.192500,7.322500,6.138863,26145200
2008-12-24,7.387500,7.550000,7.125000,7.437500,6.235272,9540400
2008-12-26,7.675000,7.747500,7.357500,7.687500,6.444862,8625600
2008-12-29,7.655000,7.752500,6.985000,7.270000,6.094849,16916400
2008-12-30,7.495000,7.972500,7.350000,7.927500,6.646068,18838000
2008-12-31,8.007500,9.042500,7.967500,8.522500,7.144890,27154800
2009-01-02,8.757500,9.245000,8.455000,8.977500,7.526343,29046400
2009-01-05,9.137500,9.340000,8.575000,9.150000,7.670957,25524800
2009-01-06,9.357500,9.907500,9.177500,9.597500,8.046122,31898400
2009-01-07,9.007500,9.142500,8.342500,8.720000,7.310466,27940800
2009-01-08,8.537500,8.935000,8.437500,8.895000,7.457177,31515200
2009-01-09,8.907500,8.932500,7.750000,7.875000,6.602054,39779600
2009-01-12,7.767500,7.852500,7.077500,7.167500,6.008917,24239200
2009-01-13,7.117500,7.575000,7.017500,7.452500,6.247849,28787200
2009-01-14,6.972500,7.132500,6.432500,6.475000,5.428355,40151600
2009-01-15,6.510000,7.017500,5.875000,6.842500,5.736452,57358800
2009-01-16,7.240000,7.247500,6.355000,6.992500,5.862205,48674800
2009-01-20,6.732500,6.877500,5.600000,5.607500,4.701082,46289600
2009-01-21,5.847500,6.497500,5.485000,6.395000,5.361287,40993200
2009-01-22,6.007500,6.370000,5.545000,5.865000,4.916958,57889600
2009-01-23,5.425000,6.220000,5.347500,5.967500,5.002889,48821200
2009-01-26,5.950000,6.550000,5.875000,6.130000,5.139123,48428000
2009-01-27,6.225000,6.532500,6.087500,6.347500,5.321465,38027200
2009-01-28,6.737500,7.220000,6.690000,7.077500,5.933464,44948400
2009-01-29,6.822500,6.872500,6.255000,6.302500,5.283740,37922800
2009-01-30,6.470000,6.562500,5.792500,5.917500,4.960972,40600800
2009-02-02,5.612500,6.200000,5.610000,6.085000,5.101397,27782400
2009-02-03,6.252500,6.362500,5.927500,6.190000,5.189425,33355600
2009-02-04,6.225000,6.577500,5.942500,6.052500,5.074150,45293600
2009-02-05,5.912500,6.535000,5.815000,6.237500,5.229247,43947200
2009-02-06,6.305000,7.012500,6.227500,6.922500,5.803520,48942400
2009-02-09,6.870000,7.032500,6.632500,6.852500,5.744835,31430000
2009-02-10,6.730000,7.022500,5.872500,5.977500,5.011273,50923200
2009-02-11,6.030000,6.167500,5.737500,5.997500,5.028039,30332400
2009-02-12,5.732500,6.167500,5.490000,6.130000,5.139123,39875600
2009-02-13,6.132500,6.367500,5.925000,5.932500,4.973547,33377600
2009-02-17,5.287500,5.527500,5.217500,5.265000,4.413944,41732400
2009-02-18,5.387500,5.407500,4.962500,5.027500,4.214835,50078400
2009-02-19,5.200000,5.255000,4.785000,4.812500,4.034588,41802400
2009-02-20,4.517500,4.785000,4.297500,4.615000,3.869013,64065200
2009-02-23,4.700000,4.725000,4.047500,4.077500,3.418397,56234000
2009-02-24,4.220000,4.627500,4.095000,4.525000,3.793561,55288000
2009-02-25,4.442500,4.550000,4.025000,4.220000,3.537863,64239200
2009-02-26,4.377500,4.425000,3.937500,4.022500,3.372288,48908000
2009-02-27,3.767500,4.132500,3.755000,3.882500,3.254918,60819600
2009-03-02,3.647500,3.705000,3.215000,3.245000,2.720465,68421200
2009-03-03,3.387500,3.420000,3.012500,3.075000,2.577945,57725600
2009-03-04,3.215000,3.425000,3.075000,3.260000,2.733041,72072400
2009-03-05,3.067500,3.177500,2.720000,2.740000,2.297096,77096800
2009-03-06,2.817500,2.937500,2.567500,2.772500,2.324342,72312800
2009-03-09,2.665000,2.872500,2.552500,2.585000,2.167151,56380000
2009-03-10,2.767500,3.107500,2.737500,3.077500,2.580041,62855600
2009-03-11,3.180000,3.362500,2.995000,3.067500,2.571657,72204400
2009-03-12,3.035000,3.695000,2.927500,3.625000,3.039041,71890000
2009-03-13,3.737500,3.830000,3.572500,3.767500,3.158506,61352000
2009-03-16,3.880000,3.972500,3.502500,3.515000,2.946821,54390400
2009-03-17,3.557500,4.015000,3.465000,4.012500,3.363904,43407600
2009-03-18,3.960000,4.537500,3.865000,4.435000,3.718109,75071600
2009-03-19,4.622500,4.632500,4.210000,4.300000,3.604931,48798000
2009-03-20,4.400000,4.447500,3.837500,3.840000,3.219287,53624800
2009-03-23,4.250000,4.840000,4.125000,4.825000,4.045068,60727200
2009-03-24,4.630000,4.785000,4.255000,4.300000,3.611293,51764800
2009-03-25,4.397500,4.800000,4.040000,4.637500,3.894737,80529200
2009-03-26,4.825000,5.167500,4.670000,5.145000,4.320954,90247600
2009-03-27,4.887500,5.020000,4.620000,4.650000,3.905236,56092400
2009-03-30,4.252500,4.295000,3.970000,4.250000,3.569301,53334000
2009-03-31,4.410000,4.745000,4.250000,4.340000,3.644887,63763200
2009-04-01,4.145000,4.647500,4.077500,4.592500,3.856945,68133600
2009-04-02,5.012500,5.472500,4.925000,5.257500,4.415435,82758800
2009-04-03,5.222500,5.497500,5.070000,5.485000,4.606498,57781200
2009-04-06,5.262500,5.307500,4.945000,5.227500,4.390240,65904000
2009-04-07,4.957500,5.090000,4.637500,4.680000,3.930430,60863200
2009-04-08,4.770000,4.985000,4.662500,4.972500,4.176082,70193600
2009-04-09,5.350000,5.805000,5.292500,5.790000,4.862648,70584400
2009-04-13,5.625000,5.917500,5.427500,5.800000,4.871047,69776000
2009-04-14,5.532500,5.737500,5.267500,5.300000,4.451128,72785600
2009-04-15,5.187500,5.575000,5.142500,5.507500,4.625395,54108000
2009-04-16,5.725000,6.122500,5.440000,5.982500,5.024316,66235600
2009-04-17,6.022500,6.345000,5.840000,6.135000,5.152391,58665200
2009-04-20,5.762500,5.847500,5.162500,5.217500,4.381842,65198400
2009-04-21,5.122500,5.790000,5.072500,5.742500,4.822755,84645200
2009-04-22,5.480000,6.197500,5.415000,5.692500,4.780764,87870800
2009-04-23,5.815000,5.847500,5.400000,5.665000,4.757668,71112000
2009-04-24,5.835000,6.237500,5.677500,5.977500,5.020117,74148000
2009-04-27,5.702500,6.065000,5.630000,5.810000,4.879444,61862000
2009-04-28,5.612500,6.142500,5.562500,5.842500,4.906739,71332400
2009-04-29,6.075000,6.720000,6.015000,6.507500,5.465231,75755600
2009-04-30,6.807500,7.007500,6.367500,6.372500,5.351852,78446800
2009-05-01,6.397500,6.637500,6.295000,6.460000,5.425337,55670800
2009-05-04,6.655000,7.175000,6.577500,7.150000,6.004826,61229600
2009-05-05,7.050000,7.160000,6.750000,6.995000,5.874650,54028800
2009-05-06,7.265000,7.385000,6.687500,7.080000,5.946035,63316800
2009-05-07,7.397500,7.450000,6.432500,6.625000,5.563911,69171600
2009-05-08,6.930000,7.330000,6.732500,7.252500,6.090907,76466000
2009-05-11,6.860000,7.105000,6.745000,6.942500,5.830559,44876000
2009-05-12,7.077500,7.172500,6.330000,6.675000,5.605902,70102800
2009-05-13,6.332500,6.365000,5.745000,5.767500,4.843751,63242000
2009-05-14,5.792500,6.285000,5.682500,6.012500,5.049512,58016400
2009-05-15,5.970000,6.177500,5.760000,5.927500,4.978126,52075600
2009-05-18,6.120000,6.570000,6.062500,6.497500,5.456832,50842400
2009-05-19,6.490000,6.730000,6.285000,6.515000,5.471529,59279200
2009-05-20,6.685000,7.025000,6.310000,6.342500,5.326657,72479200
2009-05-21,6.085000,6.257500,5.775000,6.090000,5.114599,50371600
2009-05-22,6.190000,6.235000,5.910000,5.917500,4.969728,40015200
2009-05-26,5.740000,6.760000,5.735000,6.687500,5.616400,64140400
2009-05-27,6.610000,6.850000,6.310000,6.310000,5.299362,70550000
2009-05-28,6.525000,6.602500,5.970000,6.372500,5.351852,66473200
2009-05-29,6.470000,6.790000,6.345000,6.750000,5.668889,59346000
2009-06-01,7.240000,7.645000,7.135000,7.530000,6.323962,69495200
2009-06-02,7.460000,7.922500,7.340000,7.795000,6.546519,64938800
2009-06-03,7.602500,7.700000,7.372500,7.665000,6.437340,59378800
2009-06-04,7.802500,8.025000,7.525000,7.987500,6.708187,65293600
2009-06-05,8.222500,8.267500,7.785000,7.980000,6.701888,70425600
2009-06-08,7.830000,8.035000,7.492500,7.750000,6.508725,53913600
2009-06-09,7.835000,8.022500,7.725000,7.812500,6.561214,41654400
2009-06-10,8.070000,8.075000,7.297500,7.750000,6.508725,66480000
2009-06-11,7.757500,8.090000,7.717500,7.725000,6.487730,59232800
2009-06-12,7.585000,7.817500,7.422500,7.800000,6.550717,44868800
2009-06-15,7.480000,7.490000,6.945000,7.177500,6.027918,54771600
2009-06-16,7.345000,7.377500,6.750000,6.815000,5.723480,57727200
2009-06-17,6.822500,7.167500,6.625000,6.935000,5.824260,56376000
2009-06-18,6.937500,7.155000,6.745000,7.045000,5.916642,42480000
2009-06-19,7.317500,7.400000,7.072500,7.170000,6.021621,49950800
2009-06-22,7.012500,7.030000,6.400000,6.415000,5.387545,49795600
2009-06-23,6.505000,6.575000,6.227500,6.257500,5.259166,53392000
2009-06-24,6.422500,6.687500,6.340000,6.427500,5.402044,48579200
2009-06-25,6.275000,7.010000,6.257500,6.995000,5.879004,67759600
2009-06-26,6.897500,7.187500,6.800000,7.012500,5.893711,44185600
2009-06-29,7.077500,7.190000,6.715000,7.060000,5.933632,45377200
2009-06-30,7.070000,7.210000,6.872500,6.942500,5.834879,52548000
2009-07-01,7.107500,7.462500,7.087500,7.292500,6.129039,42904400
2009-07-02,6.970000,6.972500,6.477500,6.595000,5.542819,52587200
2009-07-06,6.400000,6.492500,6.072500,6.387500,5.368425,55745200
2009-07-07,6.345000,6.392500,5.965000,5.970000,5.017533,49429600
2009-07-08,6.037500,6.115000,5.565000,5.837500,4.906173,73708000
2009-07-09,5.955000,5.987500,5.752500,5.800000,4.874656,47029200
2009-07-10,5.680000,5.920000,5.587500,5.840000,4.908274,53613600
2009-07-13,5.925000,6.285000,5.612500,6.270000,5.269671,53947600
2009-07-14,6.280000,6.442500,6.165000,6.390000,5.370526,48351200
